Keytronic French Keyboard,John Murray,32165,175.24,73.98,14.52,Alberta,Computer Peripherals,0.65
Accessory4,John Murray,32165,192.06,85.99,0.99,Alberta,Telephones and Communication,0.85
"Seth Thomas 12"" Clock w/ Goldtone Case",Darren Powers,32325,189.28,22.98,7.58,Alberta,Office Furnishings,0.51
Avery 484,Shaun Chance,32931,32.7,2.88,0.5,Alberta,Labels,0.36
Eldon Simplefile® Box Office®,Shaun Chance,32931,-60.79,12.44,6.27,Alberta,Storage & Organization,0.57
Belkin MediaBoard 104- Keyboard,Roger Demir,33189,-96.54,27.48,4,Alberta,Computer Peripherals,0.75
Riverleaf Stik-Withit® Designer Note Cubes®,Roger Demir,33189,0.15,10.06,2.06,Alberta,Paper,0.39
"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Penelope Sewall,33479,16.57,15.01,8.4,Alberta,Binders and Binder Accessories,0.39
"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",Penelope Sewall,33479,-8.82,8.56,5.16,Alberta,Paper,0.38
Newell 342,Mike Pelletier,34311,-100.24,3.28,3.97,Alberta,Pens & Art Supplies,0.56
Eldon Shelf Savers™ Cubes and Bins,Mike Pelletier,34311,-262.62,6.98,9.69,Alberta,Storage & Organization,0.83
"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Sung Pak,35111,256.16,23.99,6.71,Alberta,Envelopes,0.35
"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",Mike Pelletier,35173,341.98,240.98,60.2,Alberta,Bookcases,0.56
StarTAC ST7762,Mike Pelletier,35173,29.56,125.99,8.08,Alberta,Telephones and Communication,0.57
Ames Color-File® Green Diamond Border X-ray Mailers,John Murray,36773,994.68,83.98,5.01,Alberta,Envelopes,0.38
Avery 494,Tim Brockman,36997,39.91,2.61,0.5,Alberta,Labels,0.39
GBC Therma-A-Bind 250T Electric Binding System,Shaun Chance,37700,1169.71,122.99,19.99,Alberta,Binders and Binder Accessories,0.37
OIC Thumb-Tacks,Darren Powers,38529,-0.49,1.14,0.7,Alberta,Rubber Bands,0.38
Xerox 1934,Penelope Sewall,40162,760.79,55.98,5.15,Alberta,Paper,0.36
Newell 327,Shaun Chance,40612,-6.84,2.21,1.12,Alberta,Pens & Art Supplies,0.58
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",Shaun Chance,41987,1760.11,320.64,29.2,Alberta,Tables,0.66
Hon Olson Stacker Stools,Sue Ann Reed,42083,1263.98,140.81,24.49,Alberta,Chairs & Chairmats,0.57
Xerox 1894,Sue Ann Reed,42083,-86.3,6.48,6.22,Alberta,Paper,0.37
Kleencut® Forged Office Shears by Acme United Corporation,Sue Ann Reed,42083,-57.97,2.08,2.56,Alberta,"Scissors, Rulers and Trimmers",0.55
T39m,Tim Brockman,42151,1140.67,155.99,3.9,Alberta,Telephones and Communication,0.55
"Wilson Jones 1"" Hanging DublLock® Ring Binders",Sung Chung,42658,-8.33,5.28,2.99,Alberta,Binders and Binder Accessories,0.37
Telescoping Adjustable Floor Lamp,Tamara Manning,43911,-53.89,19.99,11.17,Alberta,Office Furnishings,0.6
Panasonic KX-P1131 Dot Matrix Printer,Tamara Manning,43911,2685.19,264.98,17.86,Alberta,Office Machines,0.58
Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Tamara Manning,43911,1278.45,320.98,58.95,Alberta,Chairs & Chairmats,0.57
US Robotics 56K V.92 External Faxmodem,Shaun Chance,44005,-270.48,99.99,19.99,Alberta,Computer Peripherals,0.52
Xerox 1899,Tom Prescott,44486,-66.93,5.78,4.96,Alberta,Paper,0.36
Boston 16765 Mini Stand Up Battery Pencil Sharpener,Roger Demir,45284,-42.98,11.66,8.99,Alberta,Pens & Art Supplies,0.59
O'Sullivan 5-Shelf Heavy-Duty Bookcases,Shaun Chance,45668,-298.9,81.94,55.81,Alberta,Bookcases,0.6
Holmes 99% HEPA Air Purifier,Resi Polking,46023,-204.22,21.66,13.99,Alberta,Appliances,0.52
Eldon Cleatmat® Chair Mats for Medium Pile Carpets,John Murray,46533,49.76,55.5,52.2,Alberta,Office Furnishings,0.72
StarTAC 7760,John Murray,46533,-82.06,65.99,3.99,Alberta,Telephones and Communication,0.59
"Hot File® 7-Pocket, Floor Stand",Tim Brockman,48321,1856.12,178.47,19.99,Alberta,Storage & Organization,0.55
Eldon Jumbo ProFile™ Portable File Boxes Graphite/Black,Penelope Sewall,48673,-90.72,15.31,8.78,Alberta,Storage & Organization,0.57
