Global Commerce™ Series High-Back Swivel/Tilt Chairs,Jennifer Ferguson,21505,-379.22,284.98,69.55,Quebec,Chairs & Chairmats,0.6
Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Stewart Visinsky,22055,632.98,160.98,30,Quebec,Chairs & Chairmats,0.62
GBC Plastic Binding Combs,Phillip Flathmann,22371,-66.17,7.38,11.51,Quebec,Binders and Binder Accessories,0.36
BASF Silver 74 Minute CD-R,Sarah Brown,22498,-30.7,1.7,1.99,Quebec,Computer Peripherals,0.51
Panasonic KX-P2130 Dot Matrix Printer,Jennifer Ferguson,22562,1981.17,213.45,14.7,Quebec,Office Machines,0.59
Xerox 1882,Jennifer Ferguson,22562,518.07,55.98,13.88,Quebec,Paper,0.36
"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",Jennifer Ferguson,22562,-28.09,16.06,8.34,Quebec,Storage & Organization,0.59
Hon 2111 Invitation™ Series Corner Table,Jennifer Ferguson,23392,-505.98,209.37,69,Quebec,Tables,0.79
Global Troy™ Executive Leather Low-Back Tilter,Justin MacKendrick,23782,5365.43,500.98,26,Quebec,Chairs & Chairmats,0.6
Tennsco Commercial Shelving,Justin MacKendrick,23782,-194.85,20.34,35,Quebec,Storage & Organization,0.84
Bretford Rectangular Conference Table Tops,Anne Pryor,24069,-592.52,376.13,85.63,Quebec,Tables,0.74
Logitech Internet Navigator Keyboard,Max Engle,24099,-135.51,30.98,6.5,Quebec,Computer Peripherals,0.79
Tennsco Commercial Shelving,Max Engle,24099,-1049.26,20.34,35,Quebec,Storage & Organization,0.84
"Super Bands, 12/Pack",Anne Pryor,24228,-66.62,1.86,2.58,Quebec,Rubber Bands,0.82
i500plus,Dennis Kane,24231,421.89,65.99,5.92,Quebec,Telephones and Communication,0.58
Hewlett Packard LaserJet 3310 Copier,Jasper Cacioppo,24613,2752.11,599.99,24.49,Quebec,Copiers and Fax,0.37
Xerox 21,Jasper Cacioppo,24613,-90.08,6.48,6.6,Quebec,Paper,0.37
Prismacolor Color Pencil Set,Jasper Cacioppo,24613,237.75,19.84,4.1,Quebec,Pens & Art Supplies,0.44
"Polycom Soundstation EX Audio-Conferencing Telephone, Black",Mitch Webber,24647,-1820,999.99,13.99,Quebec,Office Machines,0.36
